               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.041499,            0.033287,            0.011834,             0.82616,             0.59577,             0.76731,              0.3332,            0.043383,            0.014811,            0.017331,              0.0946,              0.0006,              0.0006
                   1,            0.040182,            0.033978,            0.010787,             0.76286,             0.64964,             0.78018,             0.35481,            0.042102,             0.01471,            0.016809,            0.088268,           0.0012678,           0.0012678
                   2,            0.040726,            0.034365,            0.011584,             0.75192,             0.66799,             0.74364,             0.34612,            0.041796,            0.014961,            0.017584,            0.081901,            0.001901,            0.001901
                   3,            0.041388,            0.031517,           0.0094464,             0.73721,             0.61368,             0.70932,             0.32986,            0.043668,            0.015517,            0.017157,              0.0755,           0.0024995,           0.0024995
                   4,            0.039301,            0.030774,           0.0088774,             0.88056,             0.65481,             0.78317,             0.37902,            0.042015,             0.01445,            0.014798,            0.069063,           0.0030634,           0.0030634
                   5,            0.039518,            0.029553,           0.0078814,             0.70755,             0.70853,             0.76533,             0.36811,            0.042041,            0.014532,            0.016449,            0.062593,           0.0035926,           0.0035926
                   6,            0.039931,            0.029389,           0.0091371,             0.86787,             0.60726,             0.75491,             0.34256,            0.043681,            0.014963,            0.016312,            0.056087,           0.0040872,           0.0040872
                   7,            0.041791,            0.030705,           0.0079442,             0.80546,             0.63949,             0.75793,             0.32156,            0.045828,            0.015277,             0.01673,            0.049547,           0.0045471,           0.0045471
                   8,            0.042535,            0.030754,            0.008517,             0.84469,             0.56118,             0.73715,             0.35128,            0.043843,            0.014781,            0.016095,            0.042972,           0.0049724,           0.0049724
                   9,            0.041833,            0.032399,           0.0092834,             0.81669,             0.67305,             0.79409,             0.39189,            0.041311,            0.014233,            0.015625,            0.036363,            0.005363,            0.005363
                  10,            0.042697,            0.029931,            0.010408,             0.78528,             0.73175,             0.80431,             0.38975,            0.044848,            0.014532,              0.0147,            0.029719,            0.005719,            0.005719
                  11,            0.043331,            0.033555,           0.0099937,             0.82391,             0.70962,             0.78654,             0.37379,            0.046087,            0.014746,            0.016269,             0.02304,           0.0060403,           0.0060403
                  12,            0.043085,            0.032308,            0.010707,              0.7778,             0.61057,             0.69158,             0.34492,            0.046319,            0.015793,            0.017389,            0.016327,            0.006327,            0.006327
                  13,            0.041987,            0.031931,            0.010987,             0.73578,             0.51905,             0.61372,             0.32438,            0.045051,            0.016831,            0.018994,            0.009579,            0.006579,            0.006579
                  14,            0.043257,             0.03233,            0.012001,             0.64998,             0.52101,             0.55374,             0.24321,              0.0499,            0.017517,            0.018924,            0.006535,            0.006535,            0.006535
