               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.091703,            0.058716,            0.045864,            0.019362,             0.29773,            0.017297,            0.004617,            0.069118,            0.055824,            0.043492,              0.0705,           0.0032778,           0.0032778
                   1,            0.071324,            0.063383,            0.042729,            0.030992,             0.44535,            0.027802,           0.0087069,            0.060967,            0.053766,            0.041992,            0.040282,           0.0063929,           0.0063929
                   2,            0.065414,            0.059791,            0.041479,            0.047283,             0.21489,            0.028402,           0.0078113,             0.07031,            0.050098,            0.039643,           0.0098437,           0.0092881,           0.0092881
                   3,            0.060689,            0.057494,            0.038133,            0.083732,             0.21623,            0.048787,            0.012338,            0.061855,            0.051064,            0.036894,             0.00901,             0.00901,             0.00901
                   4,            0.059151,            0.056518,            0.035955,             0.20902,             0.32745,             0.14398,            0.043416,             0.05503,            0.048293,            0.035033,             0.00901,             0.00901,             0.00901
                   5,            0.056907,            0.054625,            0.034762,             0.29916,              0.4007,             0.22129,            0.065523,            0.052601,            0.047092,            0.034689,             0.00868,             0.00868,             0.00868
                   6,            0.055686,            0.053858,            0.033943,             0.37173,             0.44835,             0.29331,            0.097273,             0.05296,            0.045535,            0.032474,             0.00835,             0.00835,             0.00835
                   7,            0.054369,            0.053721,             0.03293,              0.3961,             0.48965,             0.34043,             0.11252,            0.051453,            0.043738,            0.031081,             0.00802,             0.00802,             0.00802
                   8,            0.053425,            0.050799,            0.031907,             0.40213,             0.45084,             0.34864,             0.11784,            0.049226,            0.042749,            0.031226,             0.00769,             0.00769,             0.00769
                   9,            0.052315,            0.051839,            0.031384,             0.40972,             0.51239,             0.35633,             0.11988,            0.049867,            0.043566,             0.02896,             0.00736,             0.00736,             0.00736
                  10,            0.051393,            0.050667,            0.030856,              0.4721,             0.55136,             0.42183,             0.15542,            0.048935,            0.042278,            0.028577,             0.00703,             0.00703,             0.00703
                  11,             0.05105,            0.050137,            0.029633,             0.51148,             0.56337,             0.49667,             0.18895,            0.046255,            0.039588,            0.029256,              0.0067,              0.0067,              0.0067
                  12,            0.050387,            0.048836,            0.028949,             0.46813,             0.57744,              0.5025,             0.19332,            0.045514,            0.039879,            0.026789,             0.00637,             0.00637,             0.00637
                  13,            0.049626,            0.049065,            0.027698,             0.57737,             0.58835,             0.56768,               0.235,            0.044829,            0.038303,            0.027015,             0.00604,             0.00604,             0.00604
                  14,            0.048629,            0.048491,            0.026692,             0.58941,              0.5685,             0.57733,             0.22929,            0.044601,            0.038434,            0.025061,             0.00571,             0.00571,             0.00571
                  15,            0.048711,            0.048437,            0.025681,             0.70915,             0.57747,             0.64701,             0.26608,            0.044813,            0.037711,            0.023262,             0.00538,             0.00538,             0.00538
                  16,            0.048058,            0.047597,            0.024345,             0.57548,             0.57849,                0.59,             0.22548,            0.045624,            0.039853,            0.027868,             0.00505,             0.00505,             0.00505
                  17,            0.047733,            0.048017,            0.023418,              0.6936,              0.6297,             0.66154,             0.26416,            0.045193,            0.039534,            0.022365,             0.00472,             0.00472,             0.00472
                  18,             0.04669,            0.047113,            0.022136,             0.76986,             0.59058,             0.67588,             0.29809,            0.042951,            0.037457,            0.020679,             0.00439,             0.00439,             0.00439
                  19,            0.046436,            0.047073,             0.02091,             0.72648,              0.6356,             0.67875,             0.27359,            0.044751,            0.040085,            0.019695,             0.00406,             0.00406,             0.00406
                  20,            0.045611,             0.04551,            0.020381,             0.79149,               0.671,              0.7492,             0.33105,            0.042205,            0.036997,            0.018803,             0.00373,             0.00373,             0.00373
                  21,            0.045558,             0.04656,            0.019732,             0.80194,             0.66423,             0.72937,             0.30541,            0.042666,            0.037336,            0.019479,              0.0034,              0.0034,              0.0034
                  22,            0.044509,             0.04578,            0.018716,             0.76184,             0.66909,             0.71176,             0.31068,            0.043096,            0.038279,            0.017609,             0.00307,             0.00307,             0.00307
                  23,            0.044434,            0.044622,            0.018127,             0.78949,             0.67598,             0.74078,             0.32395,            0.042957,            0.037256,            0.016773,             0.00274,             0.00274,             0.00274
                  24,            0.043702,            0.045259,            0.017401,             0.79337,             0.68699,             0.73664,             0.32184,             0.04309,            0.037592,            0.016918,             0.00241,             0.00241,             0.00241
                  25,            0.043168,            0.044144,            0.017037,              0.8197,             0.73181,             0.78475,             0.36662,            0.040953,              0.0349,             0.01788,             0.00208,             0.00208,             0.00208
                  26,            0.042795,            0.043519,            0.016629,             0.81757,             0.68147,             0.75757,              0.3411,            0.041977,            0.036825,            0.016575,             0.00175,             0.00175,             0.00175
                  27,            0.042142,            0.043198,            0.016312,             0.83013,             0.71121,             0.78077,             0.35203,              0.0413,            0.036202,            0.016287,             0.00142,             0.00142,             0.00142
                  28,            0.041881,            0.043204,            0.015202,             0.83417,             0.72112,             0.78104,             0.37747,            0.040408,            0.034823,            0.017006,             0.00109,             0.00109,             0.00109
                  29,            0.041667,            0.042388,            0.015023,             0.81594,             0.69562,             0.76399,             0.34797,            0.041556,            0.037032,            0.016964,             0.00076,             0.00076,             0.00076
