Index, Position, Quaternion, EulerAngles, Scale, Label
0, (-2.99, 1.38, -15.00), (-0.90720, -0.22811, -0.23371, 0.26519), (324.00, 158.00, 159.00), 2.913554, Lat_Ins
0, (0.38, 1.40, -15.00), (-0.49639, 0.38976, 0.70833, 0.31615), (300.00, 294.00, 173.00), 1.095353, Med_Ins
0, (-4.67, -0.41, -15.00), (-0.56458, -0.58576, 0.51691, -0.26634), (65.00, 220.00, 114.00), 2.321917, FracturePlate_1x_LatScrewCut1 (1)
1, (3.64, -1.15, -15.00), (-0.09824, 0.42030, -0.13950, -0.89120), (17.00, 311.00, 10.00), 2.612124, FracturePlate_1x_MedScrewCut1 (1)
1, (-6.27, 0.45, -15.00), (-0.58967, 0.46324, 0.09105, 0.65529), (301.00, 104.00, 304.00), 1.641625, Lat_Ins
1, (0.63, -1.30, -15.00), (0.12639, 0.35178, -0.92389, -0.08184), (39.00, 338.00, 162.00), 0.6017441, Med_Ins
1, (4.75, -2.48, -15.00), (0.72951, 0.18692, -0.36756, 0.54569), (69.00, 248.00, 201.00), 1.610526, FracturePlate_1x_MedScrewCut1
1, (-5.16, -1.79, -15.00), (-0.74541, 0.33610, 0.10283, 0.56642), (294.00, 146.00, 251.00), 1.44382, FracturePlate_1x_LatScrewCut1 (1)
2, (6.62, 2.16, -15.00), (-0.67047, -0.10954, 0.58319, 0.44539), (332.00, 275.00, 131.00), 1.241593, FracturePlate_1x_MedScrewCut1 (1)
2, (-3.67, 2.03, -15.00), (0.48742, 0.03862, 0.83735, 0.24449), (10.00, 58.00, 153.00), 1.91661, Med_Ins
3, (-5.24, 2.21, -15.00), (0.36861, 0.45751, -0.76774, 0.25569), (63.00, 313.00, 187.00), 0.7286273, FracturePlate_1x_LatScrewCut1 (1)
3, (3.89, 2.16, -15.00), (-0.15906, -0.37471, 0.68898, -0.59966), (45.00, 19.00, 270.00), 2.687747, FracturePlate_1x_MedScrewCut1
4, (0.63, -0.48, -15.00), (0.40056, 0.15864, -0.07063, 0.89967), (48.00, 20.00, 0.00), 2.452473, Lat_Ins
4, (3.86, -0.07, -15.00), (0.46733, 0.75102, 0.42288, -0.19683), (305.00, 170.00, 69.00), 1.199699, FracturePlate_1x_LatScrewCut1 (1)
4, (-3.09, -2.12, -15.00), (0.38162, 0.34702, -0.73149, 0.44595), (58.00, 332.00, 227.00), 0.8703249, FracturePlate_1x_MedScrewCut1 (1)
4, (-5.92, 1.87, -15.00), (0.00957, 0.49167, 0.86445, 0.10440), (302.00, 13.00, 159.00), 2.617077, FracturePlate_1x_LatScrewCut1
5, (4.73, -0.88, -15.00), (0.03635, -0.57634, -0.76897, -0.27423), (295.00, 38.00, 116.00), 2.252925, Med_Ins
5, (4.31, -0.21, -15.00), (-0.44265, 0.16788, -0.12196, 0.87235), (313.00, 36.00, 328.00), 1.157751, FracturePlate_1x_MedScrewCut1
7, (6.54, 0.55, -15.00), (0.74671, -0.24452, 0.42073, 0.45345), (62.00, 120.00, 178.00), 1.829058, Med_Ins
7, (0.71, 0.05, -15.00), (0.63322, 0.48056, -0.03266, 0.60582), (53.00, 116.00, 71.00), 1.220749, FracturePlate_1x_MedScrewCut1
9, (-2.15, -0.39, -15.00), (-0.18725, -0.64372, -0.64211, 0.37184), (285.00, 293.00, 294.00), 2.028129, FracturePlate_1x_MedScrewCut1 (1)
