               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.091425,            0.058832,            0.045842,            0.024414,              0.2335,            0.018235,           0.0048747,            0.068987,            0.055862,            0.043479,              0.0705,           0.0032778,           0.0032778
                   1,            0.071366,            0.063282,            0.042735,            0.026771,             0.49954,             0.02526,           0.0081827,            0.061465,            0.052718,            0.042065,            0.040435,           0.0065457,           0.0065457
                   2,            0.065269,            0.059876,            0.041505,            0.051935,             0.20186,            0.036336,             0.01029,            0.064703,            0.050386,            0.039704,            0.010303,           0.0097475,           0.0097475
                   3,            0.061122,            0.057286,            0.038369,            0.046747,              0.1426,            0.019627,           0.0044069,            0.071996,            0.060273,            0.036233,            0.009703,            0.009703,            0.009703
                   4,            0.058978,            0.056451,            0.036041,             0.27765,             0.38407,             0.21374,            0.069911,            0.051912,            0.045874,            0.034229,            0.009703,            0.009703,            0.009703
                   5,            0.056911,            0.054534,            0.034826,             0.30304,              0.4025,             0.23688,            0.073625,            0.051972,            0.045134,            0.032435,            0.009604,            0.009604,            0.009604
                   6,            0.055964,            0.053956,            0.033993,             0.35529,             0.41703,             0.30201,             0.10322,            0.052951,             0.04383,            0.032266,            0.009505,            0.009505,            0.009505
                   7,            0.054757,            0.054058,            0.033037,             0.37856,             0.40345,             0.30654,             0.10356,             0.05138,            0.045126,            0.032513,            0.009406,            0.009406,            0.009406
                   8,            0.054191,             0.05093,            0.032072,             0.27597,             0.30188,             0.19143,            0.055144,            0.053523,            0.047654,            0.032697,            0.009307,            0.009307,            0.009307
                   9,            0.052925,            0.052066,            0.031626,             0.36818,             0.45958,             0.29865,            0.098948,            0.049542,            0.045848,            0.029779,            0.009208,            0.009208,            0.009208
                  10,            0.052137,            0.050718,            0.030798,              0.3787,             0.45972,             0.29785,            0.091734,             0.05131,            0.049629,             0.03056,            0.009109,            0.009109,            0.009109
                  11,            0.052065,            0.050695,            0.030071,             0.44635,             0.55632,             0.45235,             0.16768,             0.04667,            0.041224,            0.030803,             0.00901,             0.00901,             0.00901
                  12,            0.051362,            0.049367,            0.029589,             0.45476,             0.50173,             0.44002,              0.1643,            0.047743,            0.041216,            0.028698,            0.008911,            0.008911,            0.008911
                  13,            0.050754,            0.049893,            0.028339,             0.51177,             0.52896,             0.51287,             0.18908,            0.047422,            0.040408,            0.026259,            0.008812,            0.008812,            0.008812
                  14,            0.050083,            0.049078,            0.027228,             0.51932,             0.48098,             0.45481,             0.16708,            0.047948,            0.044438,            0.026578,            0.008713,            0.008713,            0.008713
                  15,            0.050158,              0.0493,            0.026081,             0.68472,             0.57686,             0.60215,             0.24408,            0.045249,            0.038783,            0.023767,            0.008614,            0.008614,            0.008614
                  16,            0.049418,            0.048421,            0.025161,             0.67754,             0.58031,             0.60298,             0.24293,            0.044741,            0.038576,            0.026576,            0.008515,            0.008515,            0.008515
                  17,             0.04936,            0.048989,            0.023941,             0.69276,             0.53472,             0.58123,             0.21623,            0.046763,            0.040436,            0.022979,            0.008416,            0.008416,            0.008416
                  18,            0.048409,            0.048357,            0.023315,             0.64289,             0.50581,             0.55559,              0.2051,            0.045759,             0.04137,            0.023005,            0.008317,            0.008317,            0.008317
                  19,             0.04863,            0.048131,              0.0218,             0.64999,             0.57309,             0.59863,             0.23134,            0.046161,            0.040859,            0.022073,            0.008218,            0.008218,            0.008218
                  20,            0.047859,            0.047133,            0.021751,             0.72993,             0.59069,             0.65312,             0.26534,            0.045129,             0.03954,            0.019737,            0.008119,            0.008119,            0.008119
                  21,            0.048324,            0.047921,            0.021266,             0.71502,             0.60593,             0.65351,             0.25812,            0.044375,            0.039169,            0.023808,             0.00802,             0.00802,             0.00802
                  22,            0.047505,            0.047634,            0.020354,             0.57161,             0.46668,             0.46738,             0.14422,            0.052312,            0.044502,            0.023805,            0.007921,            0.007921,            0.007921
                  23,            0.047677,            0.046242,            0.019765,             0.75543,             0.61552,             0.67054,             0.27821,            0.044867,            0.039076,            0.021114,            0.007822,            0.007822,            0.007822
                  24,            0.046822,            0.047088,            0.018997,              0.7591,              0.6696,             0.70843,             0.30176,            0.042736,            0.037374,             0.02055,            0.007723,            0.007723,            0.007723
                  25,            0.046532,            0.046169,            0.018856,             0.78256,             0.67521,             0.72674,             0.32409,            0.043544,            0.036242,            0.019679,            0.007624,            0.007624,            0.007624
                  26,            0.045958,            0.045602,            0.018717,             0.80351,              0.6945,             0.74804,             0.32626,             0.04261,            0.036121,            0.017988,            0.007525,            0.007525,            0.007525
                  27,            0.045627,            0.045597,            0.018809,             0.71661,             0.59716,               0.657,             0.25756,             0.04493,            0.039199,            0.022039,            0.007426,            0.007426,            0.007426
                  28,            0.045759,            0.045812,            0.017378,             0.73642,             0.64792,             0.68619,             0.27338,            0.044586,            0.038535,             0.02227,            0.007327,            0.007327,            0.007327
                  29,            0.045495,            0.044829,            0.017571,              0.7615,             0.65867,              0.6929,             0.27688,            0.044653,            0.039347,            0.019953,            0.007228,            0.007228,            0.007228
                  30,            0.044866,            0.044741,            0.016398,             0.80244,             0.66637,             0.72361,             0.30333,            0.043448,            0.038382,            0.016625,            0.007129,            0.007129,            0.007129
                  31,            0.044835,            0.044106,            0.016243,             0.81357,             0.73115,             0.78364,               0.365,            0.041853,            0.035385,            0.017981,             0.00703,             0.00703,             0.00703
                  32,            0.044146,            0.043781,            0.016478,             0.81162,             0.73021,             0.79023,             0.37042,             0.04077,            0.035271,            0.017605,            0.006931,            0.006931,            0.006931
                  33,            0.043569,            0.043739,            0.015609,             0.81018,             0.68729,             0.74758,              0.3404,             0.04247,            0.037242,            0.019715,            0.006832,            0.006832,            0.006832
