               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.091488,            0.057451,            0.045513,             0.55139,             0.11143,            0.035542,            0.008684,            0.070115,            0.060641,            0.042513,              0.0705,           0.0032778,           0.0032778
                   1,            0.070313,             0.05812,            0.039989,              0.5388,             0.16606,            0.034632,           0.0088783,            0.065906,             0.04899,            0.036967,            0.040336,           0.0064475,           0.0064475
                   2,            0.065324,            0.056488,            0.036689,            0.081715,              0.2616,             0.06253,              0.0168,            0.062174,            0.049829,            0.034613,            0.010008,           0.0094522,           0.0094522
                   3,            0.060369,            0.056349,            0.034174,             0.37625,             0.24839,             0.14437,             0.04033,            0.056642,            0.049795,             0.03226,           0.0092575,           0.0092575,           0.0092575
                   4,            0.057089,             0.05564,             0.03246,             0.50422,             0.31591,             0.27526,             0.09826,            0.052436,            0.046123,            0.029382,           0.0092575,           0.0092575,           0.0092575
                   5,            0.056485,            0.054558,            0.030545,             0.58685,             0.35981,             0.35265,             0.12707,            0.051545,            0.044391,            0.026311,             0.00901,             0.00901,             0.00901
                   6,            0.054843,            0.054111,            0.028636,             0.84331,             0.30894,             0.37007,             0.14122,             0.05123,             0.04384,            0.024472,           0.0087625,           0.0087625,           0.0087625
                   7,            0.054053,            0.053595,            0.026159,             0.64439,             0.39948,             0.42253,             0.17791,            0.048319,             0.04419,            0.022676,            0.008515,            0.008515,            0.008515
                   8,            0.052899,            0.051817,            0.023964,             0.41255,             0.42446,              0.4019,             0.16001,            0.049401,            0.044573,            0.022635,           0.0082675,           0.0082675,           0.0082675
                   9,            0.052348,            0.052126,            0.022902,             0.43895,             0.42992,             0.44306,             0.19025,            0.049622,            0.042737,            0.019493,             0.00802,             0.00802,             0.00802
                  10,            0.051976,             0.05104,            0.021562,             0.60235,             0.45407,             0.48593,             0.18467,            0.048649,              0.0423,            0.017043,           0.0077725,           0.0077725,           0.0077725
                  11,            0.050817,            0.051798,            0.019962,             0.50715,             0.48557,              0.5017,             0.21949,            0.046155,            0.042807,            0.017915,            0.007525,            0.007525,            0.007525
                  12,            0.050317,            0.050716,            0.019316,             0.48301,             0.41516,             0.46928,             0.19082,            0.048497,            0.042487,            0.018735,           0.0072775,           0.0072775,           0.0072775
                  13,            0.048954,             0.04999,            0.018124,             0.52179,             0.45187,              0.5127,             0.21482,            0.047725,            0.043394,            0.017192,             0.00703,             0.00703,             0.00703
                  14,            0.049164,            0.049226,             0.01706,             0.56559,             0.54528,             0.54189,             0.23856,             0.04616,            0.041616,            0.017428,           0.0067825,           0.0067825,           0.0067825
                  15,            0.048546,             0.05005,            0.017032,             0.80095,             0.49292,             0.54312,             0.23298,            0.046395,            0.042185,             0.01539,            0.006535,            0.006535,            0.006535
                  16,            0.047758,            0.049013,            0.016486,             0.54624,             0.50994,             0.52433,             0.22291,            0.047732,            0.041341,            0.016364,           0.0062875,           0.0062875,           0.0062875
                  17,            0.047461,            0.049029,            0.016225,             0.58425,             0.49778,             0.52177,             0.21883,            0.046799,            0.042059,            0.017189,             0.00604,             0.00604,             0.00604
                  18,            0.046583,            0.047849,            0.015246,             0.63054,             0.55554,             0.58312,             0.28086,            0.043896,            0.040056,            0.014636,           0.0057925,           0.0057925,           0.0057925
