               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.048009,            0.048827,            0.019498,             0.84953,             0.71797,             0.81054,             0.41371,            0.039265,            0.024141,            0.013136,              0.0973,              0.0003,              0.0003
                   1,            0.051581,            0.052494,              0.0234,             0.85567,             0.69898,             0.79854,             0.40035,            0.040154,            0.024395,            0.013197,            0.093631,           0.0006307,           0.0006307
                   2,            0.049987,            0.050775,            0.021408,             0.81976,             0.61384,             0.77171,             0.41595,            0.040101,            0.024596,            0.013147,            0.089882,           0.0008822,           0.0008822
                   3,            0.048548,            0.053515,            0.017699,             0.69474,             0.62371,             0.73121,             0.39492,             0.04048,            0.024693,            0.012924,            0.086055,           0.0010545,           0.0010545
                   4,            0.049037,            0.048899,            0.021443,             0.81822,              0.7624,             0.83319,             0.40664,            0.039733,            0.023213,            0.011841,            0.082148,           0.0011476,           0.0011476
                   5,            0.050158,             0.04896,            0.019551,             0.80671,             0.75369,             0.84989,             0.41892,            0.039028,             0.02239,            0.010983,            0.078162,           0.0011615,           0.0011615
                   6,            0.046392,            0.045042,             0.01611,             0.87991,             0.77779,             0.84451,             0.42511,            0.038963,            0.021629,             0.01001,            0.074096,           0.0010962,           0.0010962
                   7,            0.045944,            0.044607,            0.017249,             0.86734,             0.77055,             0.86066,             0.44457,            0.037901,            0.021512,           0.0092407,            0.069952,           0.0009517,           0.0009517
                   8,            0.044798,            0.045019,             0.01528,             0.83558,             0.82217,             0.84721,             0.43271,            0.038666,            0.021674,           0.0096329,            0.065728,            0.000728,            0.000728
                   9,            0.045143,            0.047205,            0.015418,             0.83944,             0.82468,             0.85176,             0.43224,            0.039111,            0.022011,           0.0093765,            0.061425,           0.0004251,           0.0004251
