               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.083138,            0.037584,            0.028057,             0.32871,             0.57378,             0.30865,            0.098355,            0.055579,            0.030432,            0.026028,            0.070448,           0.0032836,           0.0032836
                   1,            0.059484,            0.032639,            0.024984,             0.49039,             0.59483,             0.50748,             0.18186,            0.045842,            0.025006,            0.021145,            0.040284,           0.0064531,           0.0064531
                   2,             0.05349,            0.030255,            0.019504,             0.65636,             0.60805,              0.6258,             0.20847,            0.048957,            0.025332,            0.016538,           0.0099552,           0.0094577,           0.0094577
                   3,            0.048459,            0.029439,            0.016377,             0.64897,             0.51654,             0.56117,              0.2348,            0.048279,            0.032194,            0.020323,           0.0092575,           0.0092575,           0.0092575
                   4,            0.045369,            0.028023,             0.01426,               0.758,             0.69179,             0.76561,             0.31823,            0.042925,            0.024605,            0.015298,           0.0092575,           0.0092575,           0.0092575
                   5,            0.042783,            0.027165,            0.013043,             0.80184,             0.72095,             0.81674,             0.42574,             0.03896,            0.021345,            0.013328,             0.00901,             0.00901,             0.00901
                   6,            0.041801,            0.026484,            0.012527,             0.87798,             0.80699,             0.89155,             0.44525,              0.0384,            0.019568,            0.010207,           0.0087625,           0.0087625,           0.0087625
                   7,            0.040361,            0.025557,            0.011173,             0.90157,             0.83164,             0.91017,             0.51135,            0.035218,            0.018682,           0.0086049,            0.008515,            0.008515,            0.008515
                   8,             0.03865,            0.025058,            0.010623,             0.91152,             0.84684,             0.92182,             0.51685,            0.035362,             0.01839,            0.010188,           0.0082675,           0.0082675,           0.0082675
                   9,            0.037922,            0.024939,            0.010165,             0.90631,             0.86906,             0.94004,             0.57339,            0.032505,             0.01691,           0.0090205,             0.00802,             0.00802,             0.00802
                  10,            0.036915,            0.024233,           0.0098585,             0.91929,             0.86949,              0.9332,             0.54977,            0.034675,            0.018452,           0.0071733,           0.0077725,           0.0077725,           0.0077725
                  11,            0.036662,            0.024068,            0.009059,             0.91085,              0.8557,             0.92943,             0.55177,            0.033507,            0.017766,           0.0070234,            0.007525,            0.007525,            0.007525
                  12,            0.035496,            0.023369,           0.0086419,              0.9146,             0.85535,             0.92193,             0.52376,            0.034281,            0.016491,           0.0071751,           0.0072775,           0.0072775,           0.0072775
                  13,            0.035049,            0.023222,           0.0080915,              0.9621,             0.89607,              0.9645,               0.613,             0.03077,            0.015325,           0.0052526,             0.00703,             0.00703,             0.00703
                  14,             0.03421,            0.023099,           0.0078657,             0.93823,             0.91168,             0.95841,              0.6481,             0.02873,             0.01463,           0.0062234,           0.0067825,           0.0067825,           0.0067825
                  15,            0.033643,             0.02254,           0.0078614,             0.95967,             0.90366,             0.95788,             0.59637,             0.03247,             0.01672,           0.0062224,            0.006535,            0.006535,            0.006535
                  16,            0.033484,            0.022292,            0.007381,             0.94502,             0.92287,             0.96879,              0.6698,            0.028331,            0.014319,           0.0063707,           0.0062875,           0.0062875,           0.0062875
                  17,            0.032551,             0.02171,           0.0073791,             0.95843,             0.92486,             0.96686,             0.66696,            0.027856,            0.014397,           0.0058184,             0.00604,             0.00604,             0.00604
                  18,            0.031751,            0.021581,           0.0070044,             0.95441,             0.92605,             0.96877,             0.68036,            0.027442,            0.014438,           0.0044996,           0.0057925,           0.0057925,           0.0057925
                  19,            0.031604,            0.021488,           0.0066184,             0.93545,              0.9257,             0.95918,             0.62093,            0.030122,             0.01556,           0.0059845,            0.005545,            0.005545,            0.005545
                  20,            0.031117,             0.02119,            0.006787,              0.9514,             0.93426,             0.97329,             0.68047,            0.027753,            0.014633,           0.0047517,           0.0052975,           0.0052975,           0.0052975
                  21,            0.030654,            0.020963,           0.0064898,             0.97688,             0.92477,             0.97458,             0.70521,            0.025561,            0.013323,           0.0049211,             0.00505,             0.00505,             0.00505
                  22,            0.030086,             0.02068,           0.0061784,             0.95403,             0.93086,             0.97204,             0.70877,            0.025832,            0.013457,           0.0054646,           0.0048025,           0.0048025,           0.0048025
                  23,            0.029774,            0.020711,           0.0060081,             0.95025,             0.93213,             0.97354,             0.70888,            0.025692,            0.013277,           0.0055543,            0.004555,            0.004555,            0.004555
                  24,            0.029299,            0.020111,           0.0059687,             0.96709,             0.94063,             0.98099,             0.73252,            0.024674,            0.013081,           0.0047065,           0.0043075,           0.0043075,           0.0043075
                  25,            0.029002,            0.019789,           0.0058025,             0.96355,             0.93432,             0.97459,             0.68972,            0.026685,            0.013732,           0.0048327,             0.00406,             0.00406,             0.00406
                  26,             0.02864,             0.02025,           0.0056194,             0.96982,             0.94832,             0.98006,             0.72027,            0.024989,            0.012728,           0.0039755,           0.0038125,           0.0038125,           0.0038125
                  27,            0.028003,            0.019799,           0.0054936,              0.9772,             0.94307,             0.97954,              0.7491,            0.023561,             0.01258,           0.0047879,            0.003565,            0.003565,            0.003565
                  28,             0.02766,            0.019321,           0.0051981,             0.96857,             0.95028,             0.98163,             0.75046,            0.023667,            0.012472,           0.0050126,           0.0033175,           0.0033175,           0.0033175
                  29,            0.027274,            0.019382,           0.0049205,             0.98099,              0.9413,             0.98117,              0.7682,            0.022637,            0.012037,           0.0048999,             0.00307,             0.00307,             0.00307
                  30,            0.026688,            0.019191,           0.0050279,             0.97791,              0.9496,             0.98363,             0.74845,            0.024148,            0.012956,           0.0041531,           0.0028225,           0.0028225,           0.0028225
                  31,            0.026374,            0.018902,           0.0046402,             0.97552,             0.94713,             0.98364,             0.73776,            0.024523,            0.013076,           0.0041439,            0.002575,            0.002575,            0.002575
                  32,            0.025876,            0.018524,           0.0046431,             0.96994,             0.95131,             0.98128,             0.75917,            0.022973,            0.012079,           0.0040648,           0.0023275,           0.0023275,           0.0023275
                  33,            0.025668,            0.018437,           0.0045371,             0.97665,             0.95018,             0.98557,             0.77444,            0.022324,            0.011748,           0.0037305,             0.00208,             0.00208,             0.00208
